Name,Quarter,Designer,Start date,End date,Logic wafers (5th percentile),Logic wafers (median),Logic wafers (95th percentile),Logic cost (USD) (5th percentile),Logic cost (USD) (median),Logic cost (USD) (95th percentile),Logic share (%) (5th percentile),Logic share (%) (median),Logic share (%) (95th percentile),CoWoS wafers (5th percentile),CoWoS wafers (median),CoWoS wafers (95th percentile),CoWoS cost (USD) (5th percentile),CoWoS cost (USD) (median),CoWoS cost (USD) (95th percentile),CoWoS share (%) (5th percentile),CoWoS share (%) (median),CoWoS share (%) (95th percentile),HBM cost (USD) (5th percentile),HBM cost (USD) (median),HBM cost (USD) (95th percentile),HBM share (%) (5th percentile),HBM share (%) (median),HBM share (%) (95th percentile),Auxiliary cost (USD) (5th percentile),Auxiliary cost (USD) (median),Auxiliary cost (USD) (95th percentile)
AMD Q1 2024,Q1 2024,AMD,2024-01-01,2024-03-31,1278.0211535792102,1470.5489737663245,1689.4786193489226,19729988.060741182,25721835.94553789,33020115.50985385,0.26128081941631887,0.3155845735945308,0.37261047769053324,5630.906561886209,6438.34038894765,7343.840881519491,54399453.34961517,77212738.20710114,105645920.3751768,8.531676608918499,11.00571006657718,14.399688002979394,190260143.003272,218986185.5988037,251650611.4308994,6.918550654664436,8.759447423952148,11.184471619151084,13924363.926630713,17172824.547494233,20896873.304359816
Amazon Q1 2024,Q1 2024,Amazon,2024-01-01,2024-03-31,529.6543226291923,700.2114797007786,931.0863527137301,8474469.162067076,12253700.894763624,17690640.701560874,0.10828343101863497,0.1502676518697701,0.2053488731272002,3046.452543673449,4096.175726517617,5353.261652393009,28103640.682888404,48831245.03031185,78865254.26077656,4.615837187384013,7.002009788919003,10.496591475280411,76003096.36568607,99421726.24089798,126963333.05982567,2.763748958752221,3.976869049635919,5.642814802658918,26934391.986583643,43101892.96283131,65424565.89304648
Google Q1 2024,Q1 2024,Google,2024-01-01,2024-03-31,4434.469502193511,5114.721562171059,5846.164306835707,66543705.1872259,89422816.47614533,116736734.57765509,0.9065904910610583,1.0976358163158986,1.289357586464675,9239.100043885579,10540.559886443163,11929.628032386316,87462167.6477755,126366297.04084322,174341501.4826302,13.998636430129666,18.01805108793703,23.39142751448297,195290997.57363975,238282875.02992994,286517812.6912387,7.101490820859627,9.531315001197198,12.734125008499497,114464790.44211233,135183559.4410227,157334017.33326554
NVIDIA Q1 2024,Q1 2024,NVIDIA,2024-01-01,2024-03-31,17461.982129596363,18908.040174373455,20437.7280319283,271389451.9808619,330266520.21429837,398809384.73160696,3.5699573412196086,4.0577266737708095,4.507492144423073,27768.17942085676,29894.641306242946,32117.07935257297,270439317.1440242,358171628.7150628,461078863.93101114,42.07299912251024,51.10195095084264,62.9746653972019,1020357600.5713102,1123117111.2626405,1243727568.2875748,37.10391274804764,44.92468445050562,55.2767808127811,265664471.97090933,292103141.2821132,321114336.3794348
AMD Q2 2024,Q2 2024,AMD,2024-04-01,2024-06-30,2037.247492434881,2267.991762759,2514.4912795277546,31433810.85335903,39611323.31602698,49119203.03881012,0.34028309397756534,0.400649079028172,0.45709836357954003,9372.838260446082,10380.192796364527,11433.807625404685,90578594.4907676,124387545.75183296,164299837.5296263,10.773377310857565,13.56887947237193,17.323950947582855,308880890.7052141,345285987.12770593,384262348.92635864,8.022880278057508,9.865313917934456,12.19880472782091,34709021.68245965,40557721.243187405,47189757.744980685
Amazon Q2 2024,Q2 2024,Amazon,2024-04-01,2024-06-30,1304.1393717198735,1671.555018490405,2023.2887082769441,20866229.947517976,29252212.823582087,38442485.457261935,0.21783145250379132,0.29528633644083646,0.36780479818408707,4418.29986324482,5554.544436098853,6911.879189693143,40267017.15074738,66649906.73759793,102638332.98055965,5.078505589936574,7.260842400129219,10.472544226807793,126629122.24142163,157070122.66642588,190572023.8502056,3.289068110166795,4.487717790469311,6.049905519054146,33844838.00496852,50330132.58672249,73007345.32469057
Google Q2 2024,Q2 2024,Google,2024-04-01,2024-06-30,5167.453641233002,6058.100874635991,6970.891635915753,73446098.65449113,105568440.28720278,144562430.72038126,0.8631239550197201,1.0701857810674016,1.2672078783529632,10188.064809482948,11823.02902189838,13494.916584495279,92711026.52899061,141559932.61274475,203267830.95836702,11.710419321244768,15.454939897906378,20.44684330984133,234276521.31781587,287060003.2693608,347416468.1582152,6.085104449813398,8.201714379124594,11.029094227244927,122679708.74099894,147515111.18191946,174698342.1148708
NVIDIA Q2 2024,Q2 2024,NVIDIA,2024-04-01,2024-06-30,21524.7408589896,23301.35264632429,25178.728867306916,334221652.63273215,407288279.166794,491538484.072074,3.5952948494285217,4.116269569914001,4.5771309115140175,34312.27421170465,36967.917879168584,39694.0287476057,333855061.68276095,442955453.9766099,570030037.7214135,39.43939564563753,48.3240756590439,60.142467799402574,1384342565.4175332,1523815062.5630016,1685838529.0256581,35.95694975110476,43.53757321608576,53.518683461132,336082478.11667484,368912292.22467256,403988327.6977842
AMD Q3 2024,Q3 2024,AMD,2024-07-01,2024-09-30,2993.9593973987376,3426.712078696445,3912.873653626383,43854720.97319644,59542127.1034987,79915355.16380727,0.4490826130270525,0.5469473681809859,0.6433842593510151,13793.349803198842,15595.605596214074,17616.063511844266,127222598.08007436,185970160.30194953,263818622.76457694,12.771620188147075,15.753136965872802,19.573403902049186,453664785.45556355,518306248.47465277,591123997.0683751,8.38257179334005,10.534679847045789,13.349683763965112,51750284.92518886,58620661.27690638,65956884.69298049
Amazon Q3 2024,Q3 2024,Amazon,2024-07-01,2024-09-30,3215.325330732289,4084.29273183732,5033.202103922754,51445205.29171662,71475122.8071531,95630839.97453232,0.4822866677857697,0.6519057070616059,0.827597130511773,7674.256948910569,9322.675401722438,11103.437068064217,69949814.82693006,111191919.23986925,166433732.0143776,7.10579347121349,9.416843840123674,12.33715229784913,246485052.83759108,302326439.7788021,365730311.24394685,4.554417088647286,6.144846336967523,8.25949212384704,50575848.62653273,68375411.19403619,92279681.01571569
