date,usd_bn
2021-03-15,0.148
2021-04-15,0.155
2021-05-15,0.164
2021-06-15,0.184
2021-07-15,0.184
2021-08-15,0.186
2021-09-15,0.191
2021-10-15,0.185
2021-11-15,0.196
2021-12-15,0.214
2022-01-15,0.237
2022-02-15,0.233
2022-03-15,0.21
2022-04-15,0.195
2022-05-15,0.2
2022-06-15,0.242
2022-07-15,0.273
2022-08-15,0.303
2022-09-15,0.33
2022-10-15,0.345
2022-11-15,0.375
2022-12-15,0.369
2023-01-15,0.397
2023-02-15,0.366
2023-03-15,0.363
2023-04-15,0.355
2023-05-15,0.377
2023-06-15,0.404
2023-07-15,0.385
2023-08-15,0.365
2023-09-15,0.325
2023-10-15,0.379
2023-11-15,0.397
2023-12-15,0.428
2024-01-15,0.393
2024-02-15,0.397
2024-03-15,0.346
2024-04-15,0.319
2024-05-15,0.292
2024-06-15,0.327
2024-07-15,0.325
2024-08-15,0.332
2024-09-15,0.324
2024-10-15,0.328
2024-11-15,0.328
2024-12-15,0.334
2025-01-15,0.354
2025-02-15,0.352
2025-03-15,0.336
2025-04-15,0.309
2025-05-15,0.314
2025-06-15,0.337
2025-07-15,0.353
2025-08-15,0.367
2025-09-15,0.369
2025-10-15,0.39
2025-11-15,0.399
2025-12-15,0.429
2026-01-15,0.453
2026-02-15,0.461
2026-03-15,0.442
2026-04-15,0.447
2026-05-15,0.495
2026-06-15,0.576
2026-07-15,0.628
