End date,Power in MW (5th percentile),Power in MW (median),Power in MW (95th percentile),Total facility power in MW (5th percentile),Total facility power in MW (median),Total facility power in MW (95th percentile)
2022-03-31,65.0,84.0,110.0,162.5,210.0,275.0
2022-06-30,135.0,175.0,228.0,337.5,437.5,570.0
2022-09-30,205.0,265.0,345.0,512.5,662.5,862.5
2022-12-31,293.0,374.0,481.0,732.5,935.0,1202.5
2023-03-31,402.0,507.0,640.0,1005.0,1267.5,1600.0
2023-06-30,585.0,721.0,890.0,1462.5,1802.5,2225.0
2023-09-30,851.0,1039.0,1258.0,2127.5,2597.5,3145.0
2023-12-31,1199.0,1455.0,1746.0,2997.5,3637.5,4365.0
2024-03-31,1739.405,2171.6094,2568.5182,4348.5125,5429.023499999999,6421.2955
2024-06-30,2424.3648,3055.5758,3585.798,6060.911999999999,7638.9395,8964.494999999999
2024-09-30,3276.3572,4134.2888,4819.352,8190.893,10335.722000000002,12048.38
2024-12-31,4380.8,5505.7,6377.4,10952.0,13764.25,15943.5
2025-03-31,5641.1212,7075.7634,8019.2318000000005,14102.803,17689.408499999998,20048.0795
2025-06-30,6985.1672,8709.254,9730.8008,17462.917999999998,21773.135000000002,24327.002
2025-09-30,8623.4828,10697.501,11819.974,21558.707,26743.752500000002,29549.935
2025-12-31,10561.9,13044.0,14299.8,26404.75,32610.0,35749.5
2026-03-31,11037.0,12877.0,14818.0,27592.5,32192.5,37045.0
2026-06-30,11624.0,13560.0,15597.0,29060.0,33900.0,38992.5
