year,month,Wiwynn,Quanta,Wistron
2022,5,20240386000.0,79955154000.0,74337356000.0
2022,6,34904029000.0,123784105000.0,101526536000.0
2022,7,21822682000.0,129459679000.0,79684558000.0
2022,8,26368154000.0,131869030000.00002,76876839000.0
2022,9,31483162000.0,120746508000.0,93541711000.0
2022,10,23467573000.0,108790516000.0,78600200000.0
2022,11,33455852999.999996,112096960000.0,88603854000.0
2022,12,30515973000.0,106329239000.0,96428739000.0
2023,1,16417154000.0,90070736000.0,54967408000.0
2023,2,22994647000.0,83351194000.0,62066820000.0
2023,3,34814036000.0,92759020000.0,94965979000.0
2023,4,18182319000.0,77840570000.0,62125793000.0
2023,5,15518732000.0,77011355000.0,63328331000.0
2023,6,22607147000.0,90177487000.0,81098600000.0
2023,7,17659345000.0,86891131000.0,67719668999.99999
2023,8,19450877000.0,101355120000.0,72891238000.0
2023,9,15707027000.0,98258338000.0,77882364000.0
2023,10,18942270000.0,91392610000.0,78402929000.0
2023,11,19385281000.0,103600595000.0,76435409000.0
2023,12,20222154000.0,92902893000.0,74698087000.0
2024,1,18787728000.0,72936574000.0,67299575000.00001
2024,2,24326337000.0,84293471000.0,81097431000.0
2024,3,26514171000.0,101709333000.0,89831083000.0
2024,4,21963172000.0,97337441000.0,72642799000.0
2024,5,24759583000.0,101298511000.0,79501289000.0
2024,6,30758125000.0,111318180000.0,88787165000.0
2024,7,31121386000.0,124262620000.0,86190479000.0
2024,8,32192450000.0,145176833000.0,89820629000.0
2024,9,34504530000.0,155109787000.0,96903570000.0
2024,10,35381437000.0,135893235000.0,96284824000.0
2024,11,37465174000.0,141353606000.0,95242553000.0
2024,12,42767009000.0,138415569000.0,105654212000.0
2025,1,37506396000.0,142560447000.0,90786162000.0
2025,2,46516815000.0,150564741000.0,102714136000.0
2025,3,86632073000.0,192546802000.0,152984771000.0
2025,4,63802622000.0,154010874000.0,133703545999.99998
2025,5,71132658000.0,160242327000.0,208405603000.0
2025,6,85808220000.0,189868451000.0,209182302000.0
2025,7,84528726000.0,158342022000.0,191725748000.0
2025,8,95978718000.0,152807846000.0,172642595000.0
2025,9,86316601000.0,184108513000.0,203436940000.0
2025,10,91264205000.0,173195793000.0,185061565000.0
2025,11,96885487000.0,192946811000.0,280624451000.0
2025,12,104290789000.0,272494820000.0,255254817000.0
2026,1,83225290000.0,230834858000.0,228366631000.0
2026,2,94633137000.0,215583149000.0,284893080000.0
2026,3,98649307000.0,362803048000.0,333043315000.0
2026,4,82730996000.0,339921315000.0,283437176000.0
2026,5,84050473000.0,311481017000.0,290183471000.0
